# Simulation 1 (Up to date)
# 874 data points written for 4 variables.
# Simulation warnings:
#   Listeners modified the flight simulation
#
# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.031e-4,-0.021,0.021
0.02,6.702e-4,0.134,0.134
0.03,0.003,0.423,0.423
0.04,0.01,0.866,0.866
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.021,1.402,1.402
0.06,0.038,1.966,1.966
0.07,0.061,2.559,2.559
0.08,0.089,3.182,3.182
0.09,0.124,3.822,3.822
0.1,0.166,4.46,4.46
0.11,0.214,5.094,5.094
0.12,0.268,5.725,5.725
0.13,0.328,6.351,6.351
0.14,0.395,6.974,6.974
0.15,0.468,7.593,7.593
0.16,0.547,8.209,8.209
0.17,0.632,8.82,8.82
0.18,0.723,9.428,9.428
0.19,0.82,10.037,10.037
0.2,0.923,10.644,10.644
# Event LAUNCHROD occurred at t=0.209 seconds
0.209,1.026,11.218,11.218
0.223,1.19,12.08,12.08
0.245,1.459,13.378,13.378
0.276,1.914,15.333,15.333
0.324,2.714,18.287,18.287
0.374,3.706,21.418,21.418
0.424,4.856,24.578,24.578
0.474,6.165,27.764,27.764
0.524,7.633,30.977,30.977
0.574,9.263,34.216,34.216
0.624,11.056,37.483,37.483
0.674,13.012,40.776,40.776
0.724,15.134,44.095,44.095
0.774,17.422,47.439,47.439
0.824,19.878,50.8,50.8
0.874,22.502,54.177,54.177
0.924,25.296,57.569,57.569
0.974,28.26,60.977,60.977
1.024,31.394,64.399,64.399
1.074,34.7,67.835,67.836
1.124,38.178,71.286,71.287
1.174,41.829,74.751,74.753
1.224,45.653,78.229,78.232
1.274,49.652,81.721,81.725
1.324,53.826,85.225,85.231
1.374,58.175,88.742,88.75
1.424,62.7,92.27,92.282
1.474,67.402,95.811,95.827
1.524,72.282,99.365,99.384
1.574,77.339,102.93,102.954
1.624,82.575,106.508,106.537
1.674,87.99,110.096,110.131
1.724,93.584,113.676,113.715
1.774,99.357,117.243,117.288
1.824,105.308,120.798,120.848
1.874,111.437,124.34,124.395
1.924,117.742,127.87,127.928
1.974,124.223,131.386,131.447
2.024,130.88,134.887,134.952
2.074,137.712,138.375,138.442
2.124,144.717,141.847,141.917
2.174,151.896,145.304,145.376
2.224,159.247,148.744,148.82
2.274,166.77,152.168,152.247
2.324,174.464,155.575,155.657
2.374,182.327,158.964,159.051
2.424,190.36,162.335,162.427
2.474,198.56,165.688,165.785
2.524,206.928,169.022,169.126
2.574,215.462,172.339,172.449
2.624,224.162,175.638,175.753
2.674,233.026,178.919,179.039
2.724,242.053,182.175,182.299
2.774,251.242,185.395,185.523
2.824,260.592,188.58,188.711
2.874,270.099,191.729,191.863
2.924,279.764,194.841,194.977
2.974,289.583,197.915,198.055
3.024,299.554,200.952,201.095
3.074,309.677,203.949,204.097
3.124,319.948,206.908,207.062
3.174,330.367,209.829,209.988
3.224,340.931,212.712,212.876
3.274,351.637,215.557,215.726
3.324,362.485,218.364,218.538
3.374,373.473,221.135,221.311
3.424,384.598,223.867,224.045
3.474,395.859,226.559,226.74
3.524,407.253,229.212,229.396
3.574,418.779,231.824,232.013
3.624,430.434,234.396,234.589
3.674,442.218,236.927,237.126
3.724,454.126,239.419,239.624
3.774,466.159,241.873,242.082
3.824,478.313,244.288,244.5
3.874,490.586,246.665,246.878
3.924,502.978,249.007,249.222
3.974,515.487,251.331,251.55
4.024,528.111,253.639,253.862
4.074,540.846,255.767,255.995
4.124,553.671,257.187,257.418
4.174,566.562,258.464,258.699
4.224,579.517,259.725,259.961
4.274,592.534,260.967,261.205
4.324,605.613,262.191,262.431
4.374,618.753,263.396,263.638
4.424,631.951,264.53,264.773
4.474,645.196,265.266,265.512
4.524,658.466,265.557,265.805
4.574,671.74,265.409,265.659
4.624,684.996,264.83,265.08
4.674,698.215,263.919,264.169
4.724,711.381,262.734,262.982
4.774,724.481,261.277,261.525
4.824,737.502,259.553,259.799
4.874,750.43,257.565,257.81
# Event BURNOUT occurred at t=4.897 seconds
4.897,756.379,256.546,256.791
4.932,765.258,254.959,255.202
4.982,777.95,252.701,252.942
5.032,790.529,250.479,250.718
5.082,802.998,248.29,248.527
5.132,815.359,246.135,246.37
5.182,827.613,244.012,244.246
5.232,839.761,241.92,242.153
5.282,851.805,239.86,240.091
5.332,863.747,237.829,238.059
5.382,875.589,235.828,236.056
5.432,887.331,233.856,234.081
5.482,898.975,231.911,232.134
5.532,910.523,229.992,230.215
5.582,921.975,228.1,228.321
5.632,933.333,226.234,226.453
5.682,944.599,224.392,224.611
5.732,955.773,222.575,222.793
5.782,966.857,220.782,220.998
5.832,977.852,219.013,219.227
5.882,988.759,217.267,217.479
5.932,999.579,215.543,215.753
5.982,1010.313,213.84,214.049
6.032,1020.963,212.157,212.366
6.082,1031.529,210.496,210.704
6.132,1042.013,208.854,209.062
6.182,1052.415,207.233,207.439
6.232,1062.737,205.631,205.837
6.282,1072.979,204.049,204.253
6.332,1083.142,202.485,202.688
6.382,1093.228,200.94,201.141
6.432,1103.236,199.412,199.611
6.482,1113.169,197.901,198.099
6.532,1123.027,196.406,196.604
6.582,1132.81,194.928,195.126
6.632,1142.52,193.466,193.664
6.682,1152.157,192.021,192.218
6.732,1161.722,190.592,190.787
6.782,1171.217,189.206,189.4
6.832,1180.646,187.929,188.122
6.882,1190.012,186.74,186.932
6.932,1199.321,185.62,185.811
6.982,1208.576,184.556,184.746
7.032,1217.778,183.54,183.731
7.082,1226.931,182.569,182.761
7.132,1236.036,181.634,181.826
7.182,1245.095,180.729,180.921
7.232,1254.109,179.847,180.04
7.282,1263.08,178.984,179.176
7.332,1272.008,178.136,178.327
7.382,1280.894,177.3,177.49
7.432,1289.738,176.472,176.661
7.482,1298.541,175.649,175.837
7.532,1307.303,174.828,175.017
7.582,1316.024,174.011,174.2
7.632,1324.704,173.196,173.386
7.682,1333.344,172.385,172.576
7.732,1341.943,171.577,171.769
7.782,1350.502,170.773,170.966
7.832,1359.02,169.973,170.166
7.882,1367.499,169.177,169.37
7.932,1375.938,168.385,168.577
7.982,1384.338,167.597,167.788
8.032,1392.698,166.811,167.001
8.082,1401.019,166.029,166.218
8.132,1409.301,165.25,165.439
8.182,1417.544,164.474,164.662
8.232,1425.748,163.699,163.888
8.282,1433.914,162.927,163.117
8.332,1442.041,162.158,162.349
8.382,1450.13,161.391,161.583
8.432,1458.18,160.624,160.817
8.482,1466.192,159.86,160.053
8.532,1474.166,159.097,159.291
8.582,1482.102,158.337,158.529
8.632,1490,157.578,157.769
8.682,1497.86,156.82,157.011
8.732,1505.682,156.064,156.254
8.782,1513.466,155.309,155.499
8.832,1521.213,154.557,154.747
8.882,1528.922,153.805,153.996
8.932,1536.593,153.056,153.247
8.982,1544.227,152.309,152.501
9.032,1551.824,151.564,151.757
9.082,1559.384,150.822,151.015
9.132,1566.906,150.082,150.276
9.182,1574.392,149.345,149.539
9.232,1581.841,148.611,148.805
9.282,1589.253,147.879,148.073
9.332,1596.629,147.15,147.343
9.382,1603.968,146.422,146.615
9.432,1611.271,145.697,145.889
9.482,1618.538,144.974,145.165
9.532,1625.769,144.253,144.444
9.582,1632.963,143.533,143.725
9.632,1640.122,142.816,143.008
9.682,1647.245,142.101,142.293
9.732,1654.332,141.388,141.581
9.782,1661.384,140.677,140.871
9.832,1668.4,139.969,140.164
9.882,1675.381,139.263,139.458
9.932,1682.326,138.559,138.755
9.982,1689.237,137.858,138.055
10.032,1696.112,137.159,137.356
10.082,1702.953,136.463,136.66
10.132,1709.758,135.769,135.966
10.182,1716.53,135.077,135.274
10.232,1723.266,134.387,134.584
10.282,1729.968,133.7,133.895
10.332,1736.636,133.014,133.209
10.382,1743.27,132.329,132.525
10.432,1749.869,131.647,131.842
10.482,1756.434,130.966,131.162
10.532,1762.966,130.287,130.484
10.582,1769.463,129.61,129.807
10.632,1775.927,128.935,129.133
10.682,1782.357,128.262,128.461
10.732,1788.753,127.591,127.79
10.782,1795.116,126.922,127.122
10.832,1801.445,126.255,126.456
10.882,1807.741,125.59,125.792
10.932,1814.004,124.928,125.13
10.982,1820.234,124.268,124.47
11.032,1826.431,123.61,123.811
11.082,1832.595,122.953,123.154
11.132,1838.726,122.299,122.499
11.182,1844.825,121.645,121.845
11.232,1850.891,120.994,121.193
11.282,1856.924,120.343,120.543
11.332,1862.925,119.694,119.894
11.382,1868.894,119.047,119.248
11.432,1874.83,118.401,118.603
11.482,1880.734,117.757,117.96
11.532,1886.606,117.115,117.318
11.582,1892.446,116.474,116.679
11.632,1898.253,115.835,116.041
11.682,1904.029,115.198,115.405
11.732,1909.773,114.564,114.771
11.782,1915.486,113.931,114.139
11.832,1921.166,113.3,113.508
11.882,1926.816,112.671,112.879
11.932,1932.433,112.044,112.252
11.982,1938.02,111.418,111.625
12.032,1943.575,110.793,111.001
12.082,1949.099,110.17,110.377
12.132,1954.592,109.548,109.756
12.182,1960.054,108.927,109.135
12.232,1965.485,108.308,108.517
12.282,1970.885,107.69,107.899
12.332,1976.254,107.074,107.284
12.382,1981.592,106.459,106.67
12.432,1986.9,105.845,106.057
12.482,1992.177,105.233,105.446
12.532,1997.423,104.622,104.836
12.582,2002.639,104.014,104.229
12.632,2007.825,103.407,103.622
12.682,2012.98,102.801,103.017
12.732,2018.105,102.197,102.414
12.782,2023.199,101.594,101.812
12.832,2028.264,100.993,101.211
12.882,2033.299,100.393,100.612
12.932,2038.303,99.795,100.014
12.982,2043.278,99.198,99.417
13.032,2048.223,98.602,98.821
13.082,2053.138,98.008,98.227
13.132,2058.024,97.415,97.634
13.182,2062.88,96.823,97.042
13.232,2067.706,96.232,96.452
13.282,2072.503,95.642,95.863
13.332,2077.271,95.053,95.275
13.382,2082.009,94.465,94.688
13.432,2086.717,93.879,94.103
13.482,2091.396,93.294,93.519
13.532,2096.047,92.71,92.936
13.582,2100.667,92.128,92.355
13.632,2105.259,91.547,91.775
13.682,2109.822,90.967,91.196
13.732,2114.356,90.388,90.619
13.782,2118.861,89.811,90.043
13.832,2123.337,89.235,89.468
13.882,2127.784,88.66,88.894
13.932,2132.203,88.087,88.321
13.982,2136.593,87.515,87.75
14.032,2140.955,86.943,87.179
14.082,2145.288,86.373,86.61
14.132,2149.592,85.804,86.042
14.182,2153.868,85.237,85.475
14.232,2158.116,84.67,84.909
14.282,2162.335,84.104,84.344
14.332,2166.526,83.539,83.78
14.382,2170.689,82.975,83.217
14.432,2174.824,82.412,82.655
14.482,2178.93,81.851,82.095
14.532,2183.009,81.29,81.535
14.582,2187.059,80.731,80.977
14.632,2191.082,80.172,80.419
14.682,2195.076,79.615,79.863
14.732,2199.043,79.058,79.307
14.782,2202.982,78.503,78.753
14.832,2206.894,77.948,78.199
14.882,2210.777,77.395,77.647
14.932,2214.633,76.842,77.096
14.982,2218.461,76.291,76.545
15.032,2222.262,75.741,75.995
15.082,2226.035,75.191,75.447
15.132,2229.781,74.642,74.899
15.182,2233.5,74.094,74.352
15.232,2237.191,73.547,73.807
15.282,2240.854,73,73.262
15.332,2244.491,72.455,72.718
15.382,2248.1,71.91,72.175
15.432,2251.682,71.367,71.633
15.482,2255.237,70.824,71.092
15.532,2258.764,70.282,70.552
15.582,2262.265,69.741,70.013
15.632,2265.738,69.201,69.474
15.682,2269.185,68.662,68.937
15.732,2272.605,68.124,68.401
15.782,2275.997,67.586,67.865
15.832,2279.363,67.049,67.33
15.882,2282.702,66.513,66.796
15.932,2286.014,65.978,66.264
15.982,2289.3,65.444,65.732
16.032,2292.559,64.911,65.2
16.082,2295.791,64.379,64.67
16.132,2298.997,63.848,64.141
16.182,2302.176,63.317,63.612
16.232,2305.329,62.788,63.084
16.282,2308.455,62.259,62.557
16.332,2311.554,61.731,62.03
16.382,2314.628,61.204,61.505
16.432,2317.675,60.677,60.979
16.482,2320.696,60.151,60.455
16.532,2323.69,59.626,59.931
16.582,2326.658,59.101,59.408
16.632,2329.6,58.577,58.886
16.682,2332.516,58.053,58.365
16.732,2335.405,57.531,57.844
16.782,2338.269,57.009,57.324
16.832,2341.106,56.488,56.805
16.882,2343.918,55.967,56.286
16.932,2346.703,55.447,55.768
16.982,2349.462,54.927,55.25
17.032,2352.196,54.409,54.734
17.082,2354.903,53.89,54.218
17.132,2357.585,53.373,53.702
17.182,2360.241,52.855,53.188
17.232,2362.87,52.338,52.674
17.282,2365.474,51.822,52.161
17.332,2368.053,51.307,51.648
17.382,2370.605,50.792,51.136
17.432,2373.132,50.277,50.625
17.482,2375.633,49.764,50.114
17.532,2378.108,49.25,49.604
17.582,2380.558,48.737,49.095
17.632,2382.982,48.225,48.587
17.682,2385.38,47.713,48.079
17.732,2387.753,47.203,47.572
17.782,2390.101,46.693,47.065
17.832,2392.423,46.184,46.56
17.882,2394.719,45.675,46.055
17.932,2396.99,45.166,45.55
17.982,2399.236,44.659,45.046
18.032,2401.456,44.151,44.543
18.082,2403.651,43.644,44.04
18.132,2405.82,43.138,43.538
18.182,2407.965,42.632,43.036
18.232,2410.084,42.126,42.535
18.282,2412.177,41.62,42.034
18.332,2414.246,41.115,41.533
18.382,2416.289,40.611,41.034
18.432,2418.307,40.107,40.534
18.482,2420.299,39.603,40.035
18.532,2422.267,39.099,39.537
18.582,2424.209,38.596,39.039
18.632,2426.127,38.094,38.542
18.682,2428.019,37.591,38.045
18.732,2429.886,37.09,37.549
18.782,2431.728,36.588,37.053
18.832,2433.545,36.087,36.557
18.882,2435.336,35.586,36.063
18.932,2437.103,35.086,35.568
18.982,2438.845,34.585,35.074
19.032,2440.562,34.086,34.581
19.082,2442.254,33.586,34.088
19.132,2443.92,33.087,33.596
19.182,2445.562,32.589,33.104
19.232,2447.179,32.091,32.613
19.282,2448.771,31.593,32.122
